id,source,title,url,deadline,description,scraped_at,fit,score,fit_reason,fit_match,call_summary,call_deadline
cf372249f784,EIT Climate-KIC,NZC CESF Procurement RFP - Czechia,https://www.climate-kic.org/wp-content/uploads/2026/02/V.2-RFP_2026_SGA2_Task-1.6-Czechia_.pdf,,"Climate KIC is looking for an expert support to facilitate the Community of Practice of
cities in the Czech Republic. *Please note that the deadline for submitting bids has changed and a list of quest",2026-05-28T16:22:12.637147+00:00,NO,2,"This tender seeks expert facilitation of a Community of Practice for cities in the Czech Republic under the NetZeroCities programme, which is focused on municipal climate action and urban net-zero transitions — not technology commercialisation, deep tech support, or startup/grantee advisory services.",none,"This RFP is issued by EIT Climate-KIC under the NetZeroCities programme, seeking expert support to facilitate a Community of Practice (CoP) among cities in the Czech Republic working towards net-zero commitments. The contractor must deliver facilitation, coordination, and knowledge-sharing services to municipal stakeholders engaged in climate city contracting and pilot city programmes.",23 February 2026
6c74076310f1,EIT Climate-KIC,Expert in inclusive climate innovation (long-term),https://www.climate-kic.org/download/73831/?tmstv=1768388726,,"Climate KIC is requesting an expert in inclusive climate entrepreneurship to support DEI (Diversity, Equity & Inclusion) capacity building with climate ventures, Entrepreneurship Support Organisations",2026-05-28T16:22:12.637324+00:00,MAYBE,4,"DevelopMinded supports climate tech ventures with commercialisation and go-to-market strategy, but this tender specifically requires DEI/inclusion expertise and capacity building with ESOs and investors, which is outside DevelopMinded's core competency.",Partnership strategy and stakeholder outreach,"This EIT Climate-KIC RFP seeks expert(s) in inclusive climate entrepreneurship to build DEI capacity across climate ventures, Entrepreneurship Support Organisations, and climate investors. The contractor must deliver DEI capacity-building support, content and toolkit development, and workshop delivery under a 3-year framework agreement worth up to €200,000.",23:59 CET on 18.01.2026
c850370ba659,EIT Climate-KIC,NZC CESF Procurement RFP - Liepaja,https://www.climate-kic.org/wp-content/uploads/2025/11/SGA-MCCC-019-Liepaja-RfP_Final.pdf,,"The NetZeroCities team within Climate KIC is looking for an expert to run a pre-feasibility study for the energy community project of the City of Liepaja. 
*Please note that a list of questions and an",2026-05-28T16:22:12.637501+00:00,NO,2,"This tender requires a technical pre-feasibility study for an energy community project in Liepaja, which is a domain-specific urban energy infrastructure consultancy task outside DevelopMinded's core competencies in technology commercialisation and deep tech venture support.",none,"This RFP from NetZeroCities/Climate-KIC seeks an expert to conduct a pre-feasibility study for an energy community project in the City of Liepaja, as part of the EU Mission on Climate-Neutral and Smart Cities. The contractor must deliver a technical and economic pre-feasibility assessment covering energy community design, stakeholder mapping, and viability analysis for the city's proposed energy community initiative.",13 January 2026
0a3f3340b7fd,EIT Climate-KIC,Advisory services for climate impact assessment,https://www.climate-kic.org/wp-content/uploads/2026/01/SGA-MCCC-019-Liepaja-RfP_FINAL_update-22.12.pdf,,Climate KIC is requesting quotation for a climate advisor that will work on mentoring and validating the climate impact self- assessment of startups with a focus on mitigation potential following a st,2026-05-28T16:22:12.637676+00:00,NO,2,"This tender requires a climate advisor to mentor and validate climate impact self-assessments for startups in a city/urban decarbonisation context, which is outside DevelopMinded's core competencies in technology commercialisation, investment readiness, and deep tech go-to-market strategy.",none,"This is an EIT Climate-KIC procurement under the NetZeroCities programme, seeking a climate advisor to support cities (specifically Liepaja) with mentoring startups on climate impact self-assessment and mitigation potential measurement. The contractor must provide expert advisory services validating climate impact assessments of startups within a structured city-focused decarbonisation framework.",13 January 2026
5d250f0ed88d,EIT Climate-KIC,NZC CESF Procurement RFP - City Finance Specialist,https://www.climate-kic.org/wp-content/uploads/2025/12/NZC-CESF-Procurement-for-CFSS_DEC.-25_FINALQAs-10.12.pdf,,"Climate KIC is looking for a finance expert to support cities in the NetZeroCities programme, through the NZC City Expert Support Facility. *Please note that the deadline for submitting bids has chang",2026-05-28T16:22:12.637864+00:00,NO,2,"This tender seeks a city finance specialist to support municipal net-zero transitions within the NetZeroCities programme, which is outside DevelopMinded's focus on deep tech commercialisation and startup/spinout support.",none,"This RFP from Climate-KIC is seeking a City Finance Specialist to support cities participating in the NetZeroCities programme through the City Expert Support Facility (CESF). The contractor must provide financial expertise to help cities develop and implement climate city contracts and pilot city programmes, focusing on municipal-level finance rather than startup or venture support.",End of January 2026
7835f954210c,EIT Climate-KIC,City Expert Support Facility (CESF) for NetZeroCities programme,https://www.climate-kic.org/wp-content/uploads/2025/09/CESF-Procurement-SGA2-1.6_IRELAND_.pdf,,"Climate KIC is seeking expert support to the Community of Practice of 
cities in Ireland.",2026-05-28T16:22:12.638013+00:00,NO,2,"This tender seeks expert support for a community of practice among Irish cities on climate/net-zero urban transitions, which is city-level policy and climate advisory work rather than technology commercialisation, deep tech support, or research exploitation services that DevelopMinded provides.",none,"The NetZeroCities City Expert Support Facility (CESF) is a Climate-KIC procurement to provide expert support to a community of practice among Irish cities participating in the NetZeroCities programme, focused on helping cities achieve net-zero goals. The contractor must deliver city-facing advisory and capacity-building support within the national (Irish) platform context under the NZC Specific Grant Agreement No.2.","28 October 2025, 23:59 CEST"
91700f8411e9,EIT Climate-KIC,RFP - Research and Analysis of Demand Side and Engagement for Climate Entrepreneurship Support,https://www.climate-kic.org/wp-content/uploads/2025/09/RFP-ESO-Circle-Demand-Analysis.pdf,,"Climate KIC is looking for expert services to conduct a comprehensive research and analysis of at least 30 Entrepreneurial Support Organizations (ESOs) previously supported by ESV Cluster, generating",2026-05-28T16:22:12.638176+00:00,MAYBE,5,"The tender requires research and analysis of entrepreneurial support organizations for climate innovation, which partially aligns with DevelopMinded's market intelligence and evaluation capabilities, but is focused on ESO ecosystem mapping rather than direct commercialisation or deep tech venture support.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Climate-KIC seeks expert services to conduct comprehensive research and analysis of at least 30 Entrepreneurial Support Organizations (ESOs) previously supported by its ESV Cluster, generating insights on their future needs, perceptions, success metrics, and collaboration opportunities. The contractor must deliver remote research and analysis outputs to the Climate-KIC team between October and December 2025.",6 October 2025
4c8183554bde,EIT Climate-KIC,RFP - Market & Supply-Side Analysis for Climate Entrepreneurship Support,https://www.climate-kic.org/wp-content/uploads/2025/09/RFP-ESO-Circle-Supply-Analysis.pdf,,"Climate KIC is looking for expert services to conduct a
comprehensive market and supply-side analysis to map
competitors, identify trends, and generate actionable
recommendations that will strengthen",2026-05-28T16:22:12.638347+00:00,YES,8,"This tender directly requires market sizing, competitor mapping, trend analysis, and strategic recommendations for climate entrepreneurship support — core market intelligence services that DevelopMinded provides, and the cleantech/climate innovation sector aligns with DevelopMinded's ideal client profile.","Go-to-market strategy and market intelligence (market sizing, segmentation, competitive analysis)","EIT Climate-KIC is seeking expert services to conduct a comprehensive market and supply-side analysis of the entrepreneurship support landscape, mapping competitors and identifying trends to strengthen its ESV Cluster's positioning and value proposition for Entrepreneurial Support Organisations (ESOs) globally. The contractor must deliver actionable insights and recommendations to improve Climate-KIC's support strategies, working remotely with the Climate-KIC team between October and December 2025.",6 October 2025
26b1d7723b35,EIT Climate-KIC,NZC CESF Procurement RFP - City Finance Specialised Services,https://www.climate-kic.org/wp-content/uploads/2025/07/3.1-NZC-CESF-Procurement-for-CFSS-Rev03-1.pdf,,,2026-05-28T16:22:12.638550+00:00,NO,2,"This tender is about specialised city finance services for net-zero urban transitions under the NetZeroCities programme, which requires municipal finance and urban climate expertise rather than DevelopMinded's deep tech commercialisation and startup support services.",none,"This RFP from Climate-KIC under the NetZeroCities programme seeks expert support for cities working on Climate City Contracts and net-zero transitions, likely involving city-level financial structuring and climate finance advisory. The contractor must deliver specialised city finance services to help pilot cities access and deploy funding for decarbonisation initiatives.",30 July 2025
1681df560d75,EIT Climate-KIC,RFQ - Learning Methodology,https://www.climate-kic.org/wp-content/uploads/2025/07/RFQ_Learning_Coach.pdf,,"Methodology development and facilitation of peer-to-peer learning
sessions for Entrepreneurship Support Organisations.",2026-05-28T16:22:12.638698+00:00,MAYBE,4,"DevelopMinded supports entrepreneurship support organisations and innovation programmes, but this tender primarily requires learning methodology design and peer-to-peer facilitation expertise, which is peripheral to DevelopMinded's core commercialisation and investment readiness services.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions",EIT Climate-KIC seeks an expert to design a general peer-to-peer learning methodology and facilitate four learning sessions for a cohort of 13 Entrepreneurship Support Organisations (ESOs) across 13 European and associated countries. The contractor must concretely deliver a learning methodology framework and facilitate the four remote peer-to-peer learning sessions between July and November 2025.,9 July 2025
fe6b9a0b6284,EIT Urban Mobility,Selection Of External Procurement Experts 26 28,https://www.eiturbanmobility.eu/request-for-proposal/selection-of-external-procurement-experts-26-28/,7 June 2026,,2026-05-28T16:22:20.111454+00:00,NO,1,"This tender seeks procurement experts for EIT Urban Mobility's internal procurement processes, which is unrelated to DevelopMinded's technology commercialisation and deep tech support services.",none,"EIT Urban Mobility is seeking an external provider with expertise in procurement-related tasks to support its internal operations over 2026-2028. The contractor must deliver procurement expertise services, likely including advice on tender procedures, contract management, and compliance with EU procurement rules.",7 June 2026
6cfbe93d72b4,EIT Urban Mobility,Expert Evaluators And Rapporteurs Aug26,https://www.eiturbanmobility.eu/request-for-proposal/expert-evaluators-and-rapporteurs-aug26/,31 August 2026,,2026-05-28T16:22:20.726945+00:00,MAYBE,5,"DevelopMinded's expertise in evaluating innovation programmes, startup competitions, and investor readiness aligns with the expert evaluator/rapporteur role for EIT Urban Mobility's calls covering Innovation, Impact Ventures/Investments, and Academy portfolios, though the urban mobility sector focus and individual expert pool format are not a core business match.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","EIT Urban Mobility is building a pool of external expert evaluators and rapporteurs to support the assessment and selection of proposals across its business areas including Academy, Innovation, Impact Ventures/Investments, Social Innovation, and lump-sum budget assessment. Selected experts must independently evaluate submitted proposals and/or act as rapporteurs during the evaluation process for EIT UM-funded calls.",31 August 2026
7e931da7edf8,EIT RawMaterials,Request for Proposal:  Organisation of the “Startup Builder” Phase II of the EIT Jumpstarter…,https://www.eitrawmaterials.eu/articles/request-proposal-organisation-startup-builder-phase-ii-eit-jumpstarter-programme-2026-2027,"June 7th, 2026",,2026-05-28T16:22:33.738000+00:00,MAYBE,6,"This tender requires organising and delivering a structured pre-acceleration training programme for 82 early-stage startups, which aligns with DevelopMinded's investment readiness, commercialisation, and startup support expertise, but the primary requirement is programme management and delivery logistics rather than pure consultancy services.","Evaluation and assessment of investor readiness, innovation programmes, and startup competitions","This call is for the organisation and delivery of Phase II ('Startup Builder') of the EIT Jumpstarter pre-acceleration programme on behalf of EIT RawMaterials for 2026-2027. The contractor must design and deliver training, mentoring, and business validation support to up to 82 early-stage startups across multiple sectors, culminating in investor-ready business plans and preparation for the Grand Demo Day pitch competition.","June 7th, 2026"
35673b458b31,EIT RawMaterials,Invitation to Tender: Platform Services for the Further Implementation of the Girls Go STEM Project,https://www.eitrawmaterials.eu/articles/invitation-tender-platform-services-further-implementation-girls-go-stem-project,05.06.2026,,2026-05-28T16:22:34.332858+00:00,NO,1,"This tender is for digital platform services (Moodle LMS hosting, ICT development, UX optimisation) for an educational STEM initiative, which has no overlap with DevelopMinded's technology commercialisation, investment readiness, or strategic consultancy services.",none,"This is a procurement by EIT RawMaterials for technical platform services to support the Girls Go STEM project, an educational initiative targeting 14-19-year-old girls across Europe. The contractor must deliver Moodle Workplace platform hosting/operation (Lot 1) and ICT development/technical implementation of the Circular Learning Space platform (Lot 2), including UX, analytics, multilingual content, and helpdesk services.",05.06.2026
